attempt,phase,signature,slot,conn,t0_ns,t1_ns,t2_ns,t3_ns,sign_ns,send_ns,sign_to_send_ns,send_to_seen_ns,sign_to_seen_ns,landed,err,rpc_poll_count,fee_lamports,t_confirmed_ns,t_finalized_ns
0,warm,4cFz4chAhCxpJ1nEts5GguPjY8ZTqvafi9GtFrvDUvgD6FYNonuSftrWZaqh5PV4ZsG1eibhMoVr4vCo3X9qU5S,450131321,0,1218644099945552,1218644099962658,1218644100003389,1218647430198881,17106,40731,57837,3330195492,3330253329,1,-,110,5500,1218647430200894,0
1,warm,,0,-1,0,0,0,0,0,0,0,0,0,0,blockhash,0,0,0,0
2,warm,4eCFZ345KsmAVpHFfBvDAa2oKr6sqbMSCVDotq5tA2CgFLFD3KqViBbchRCP2e2Krqbkzizj7VPShyvnSLnKfLuZ,450131383,1,1218656252041475,1218656252058911,1218656252114675,1218663912345672,17436,55764,73200,7660230997,7660304197,1,-,75,5500,1218663912348927,1218668078841689
3,warm,5B1w87Y8XjH1oZ31Wo4kaLTHQVobKtRNY18mkZ4gcAN3b3S2Y2WewXGSqzpocvEKQ2nkANPPyFLaFASxwVafuadV,0,0,1218668500158369,1218668500176176,1218668500229766,0,17807,53590,71397,0,0,0,not_seen,239,0,0,0
4,warm,3JW8RhAZW2U2Ph9WYnde7RR1B2AXrq8fFc1t7S62SEqPfbNkFxYVcqgrzHDj1JxyNkkqPA67wgxKfypctpWvdLJq,0,1,1218698952438293,1218698952455499,1218698952515789,0,17206,60290,77496,0,0,0,not_seen,228,0,0,0
5,warm,62Vq2dn65pJEjfZUJ6JbUPRmMf4Rg6yMwmxZhdzv68VxUA33efv9e7S9V7V3aLosc8QBpxLCY9iKdn76PkLFDJFT,0,1,1218729512429663,1218729512446969,1218729512521020,0,17306,74051,91357,0,0,0,send_fail,0,0,0,0
6,warm,2kkAy2bQE9eRT7g4C8fD1Yd6NwJf3MFxbEUYvjBLkTPickUwppJ5i5qPRjiFJ4sK3fkozGvmEKrSLK9QA1mvyLZ7,0,1,1218729922822178,1218729922840205,1218729922881637,0,18027,41432,59459,0,0,0,send_fail,0,0,0,0
7,warm,4LaWiTsbbrpjBtEAL142oySiFUYgcsvE87sX552nDJbq24GLxp2FofKW56t2hy7UURMgtCUYLBB4kUEAsFvtr1t2,0,1,1218730306807874,1218730306824299,1218730306862066,0,16425,37767,54192,0,0,0,send_fail,0,0,0,0
8,warm,39ZAPjigC9Cmd3Ke1uDzRfT3UkoYWC2C3eUSsPVV95Ra2rGoLyQdXsBvLoP4ps2YoVT1kCJ1xBdKx3dXkQdWuPdJ,0,1,1218730724532604,1218730724550280,1218730724596419,0,17676,46139,63815,0,0,0,send_fail,0,0,0,0
9,warm,54zGjAQtu55c15sios5hSEaEGSHdZbGkJ5VLwCEHN3N3ZmdQRsJeCUNQ9ETJZfjUEmVQbuwQQ42mGB3dKAyqv1ix,0,1,1218731128650723,1218731128672215,1218731128707278,0,21492,35063,56555,0,0,0,send_fail,0,0,0,0
10,warm,Movy3oR3ZhtpKEuxD14F9iz3yiqWEzvjUpp1Y9yzcLKYW3E2RwnPDvVQV14ZkgrMd37jHx2PsVD74TmRCV3fsti,0,1,1218731540468668,1218731540486925,1218731540541677,0,18257,54752,73009,0,0,0,send_fail,0,0,0,0
11,warm,p2kDobpojLAR3e3QfYbV5umC37kjmeaLdrwksix7mrfRdUNed3HTS6L8bxqCxPEFX7JriWr9Bgdm62EA8EAcfUj,0,1,1218731951582196,1218731951602676,1218731951650859,0,20480,48183,68663,0,0,0,send_fail,0,0,0,0
12,warm,5jMvNC8WbqNL9H9Y1Zvei6Y8s1JpqCbp8vVDV6aXUUzoBwQbY7GaTtHhkk1k8Wh3RuFrAruBxnDha1Te7EST8Amt,0,1,1218732352828175,1218732352849096,1218732352886092,0,20921,36996,57917,0,0,0,send_fail,0,0,0,0
13,warm,3PB2FRcP3mVTvahp3vLZFZXNzkWGYgijb7f9pSPdVrckwwSmu4dJ1BFxNHvEo6GsaVnPFDhMxwbustNcDUr631EH,0,1,1218732765444207,1218732765458599,1218732765488043,0,14392,29444,43836,0,0,0,send_fail,0,0,0,0
14,warm,5SmeAWgrcnfKmPprvF11z5AJ36rWbwjL6LyewyzhP15rJXgd1noLgfCQvaCew1ZLtGcFGeEi6sr7WwbiJjAh1qvg,0,1,1218733176667680,1218733176690805,1218733176750073,0,23125,59268,82393,0,0,0,send_fail,0,0,0,0
15,warm,zmxQrchJX4FZxwiFjtoev4BMyT6UBsowQ3jnRwoSKPyCnQva2btH67vsZTFpmjCcxChwC7VFK1Zwx9ocKzBm1T3,0,1,1218733578651827,1218733578668211,1218733578711586,0,16384,43375,59759,0,0,0,send_fail,0,0,0,0
16,warm,28cgG1kDkGuNbfC34dGjdWJamTYEqSoYJM6CjJ9ssDQjd2TAgiuTiTKNyeuRna6s4xEMLHwEXz2JGR4kk87CAF5P,0,1,1218733980651557,1218733980669224,1218733980711257,0,17667,42033,59700,0,0,0,send_fail,0,0,0,0
17,warm,5Tg1mhCEFsA4NapSVZBSDsbzcGvGwy3nKC9dHsgQQyZF9DTMZKX3i4cvE12WFj2H2EjgsFBPEd1aD3voq7Ffm9iX,0,1,1218734370579451,1218734370597137,1218734370644188,0,17686,47051,64737,0,0,0,send_fail,0,0,0,0
18,warm,126UpmZCH6scLSM4KAG7TDwpEv8TC8iz7kyJ5RAkTifPVFwDNoaMEGnqaw7RC2P1PRmxh12MHqhs1LT3qiUEWnrh,0,1,1218734784014382,1218734784030336,1218734784070406,0,15954,40070,56024,0,0,0,send_fail,0,0,0,0
19,warm,39CzMrScK93on5osPRYDqUA4Lj5o74DU2bovopiJjaZLa4zBR6g1fwtXUkFVpodzuDsU3gQopAgEGLyGUsQVLSQo,0,1,1218735194887850,1218735194905767,1218735194940729,0,17917,34962,52879,0,0,0,send_fail,0,0,0,0
